source,target,date_sent
"Bonpland, Aimé Jacques","Willdenow, Karl Ludwig",1811-10-10
"Ehrenberg, Christian Gottfried","Humboldt, Alexander von",1849-02-10
"Ehrenberg, Christian Gottfried","Humboldt, Alexander von",1854-08-08
"Ehrenberg, Christian Gottfried","Humboldt, Alexander von",1848-11-23
"Ehrenberg, Christian Gottfried","Humboldt, Alexander von",1848-05-30
"Ehrenberg, Christian Gottfried","Humboldt, Alexander von",1858-12-28
"Encke, Johann Franz","Ehrenberg, Christian Gottfried",1847-01-16
"Humboldt, Alexander von","Ehrenberg, Christian Gottfried",1835-06-25
"Humboldt, Alexander von","Ehrenberg, Christian Gottfried",1856-12-09
"Humboldt, Alexander von","Ehrenberg, Christian Gottfried",1856-03-22
"Humboldt, Alexander von","Ehrenberg, Christian Gottfried",1856-09-25
"Humboldt, Alexander von","Ehrenberg, Christian Gottfried",1856-03-22
"Humboldt, Alexander von","Gmelin, Karl Christian",1829-03-03
"Humboldt, Alexander von","Kunth, Carl Sigismund",1842-11-02
"Humboldt, Alexander von","Kunth, Carl Sigismund",1848-11-24
"Humboldt, Alexander von","Kunth, Carl Sigismund",1846-08-01
"Humboldt, Alexander von","Kunth, Carl Sigismund",1839-04-20
"Humboldt, Alexander von","Kunth, Carl Sigismund",1838-01-01
"Humboldt, Alexander von","Kunth, Marie-Josèphe",1840-06-07
"Humboldt, Alexander von","Kunth, Marie-Josèphe",1840-06-07
"Humboldt, Alexander von","Kunth, Marie-Josèphe",1829-08-01
"Humboldt, Alexander von","Meyen, Franz Julius Ferdinand",1837-01-01
"Humboldt, Alexander von","Meyen, Franz Julius Ferdinand",1833-08-22
"Humboldt, Alexander von","Meyen, Franz Julius Ferdinand",1828-01-01
"Humboldt, Alexander von","Meyen, Franz Julius Ferdinand",1830-01-01
"Humboldt, Alexander von","Meyen, Franz Julius Ferdinand",1830-05-14
"Humboldt, Alexander von","Polier, Adolphe, Graf von",1829-09-14
"Humboldt, Alexander von","Polier, Adolphe, Graf von",1829-11-27
"Humboldt, Alexander von","Polier, Adolphe, Graf von",1829-04-18
"Humboldt, Alexander von","Polier, Adolphe, Graf von",1830-02-26
"Humboldt, Alexander von","Preußen, Friedrich Wilhelm IV., König von",1857-06-20
"Humboldt, Alexander von","Preußen, Friedrich Wilhelm IV., König von",1857-07-31
"Humboldt, Alexander von","Preußen, Friedrich Wilhelm IV., König von",1840-10-05
"Humboldt, Alexander von","Rugendas, Johann Moritz",1831-03-30
"Humboldt, Alexander von","Rugendas, Johann Moritz",1830-06-29
"Humboldt, Alexander von","Rugendas, Johann Moritz",1831-01-06
"Humboldt, Alexander von","Rugendas, Johann Moritz",1830-07-02
"Humboldt, Alexander von","Rugendas, Johann Moritz",1830-03-08
"Humboldt, Alexander von","Schinkel, Karl Friedrich",1830-07-12
"Humboldt, Alexander von","Schlagintweit, Adolph von",1854-09-04
"Humboldt, Alexander von","Schlagintweit, Adolph von",1852-08-01
"Humboldt, Alexander von","Schlagintweit, Adolph von",1849-06-21
"Humboldt, Alexander von","Schlagintweit, Adolph von",1850-08-21
"Humboldt, Alexander von","Schlagintweit, Emil",1856-04-01
"Humboldt, Alexander von","Schlagintweit, Robert, Freiherr von",1858-03-05
"Humboldt, Alexander von","Schlagintweit, Robert, Freiherr von",1857-06-17
"Humboldt, Alexander von","Schlagintweit, Robert, Freiherr von",1858-10-04
"Humboldt, Alexander von","Schlagintweit-Sakünlünski, Hermann",1857-12-01
"Humboldt, Alexander von","Schlagintweit-Sakünlünski, Hermann",1852-10-30
"Humboldt, Alexander von","Schlagintweit-Sakünlünski, Hermann",1850-03-17
"Humboldt, Alexander von","Schlagintweit-Sakünlünski, Hermann",1852-03-19
"Humboldt, Alexander von","Schlagintweit-Sakünlünski, Hermann",1859-04-02
"Humboldt, Alexander von","Schomburgk, Moritz Richard",1840-10-05
"Humboldt, Alexander von","Schomburgk, Otto Alfred",1848-12-07
"Humboldt, Alexander von","Schomburgk, Otto Alfred",1845-08-28
"Humboldt, Alexander von","Schomburgk, Sir Robert Hermann",1848-10-31
"Humboldt, Alexander von","Schomburgk, Sir Robert Hermann",1843-12-31
"Humboldt, Alexander von","Soemmerring, Samuel Thomas Ritter von",1795-06-07
"Humboldt, Alexander von","Soemmerring, Samuel Thomas Ritter von",1826-12-17
"Humboldt, Alexander von","Soemmerring, Samuel Thomas Ritter von",1796-02-07
"Humboldt, Alexander von","Soemmerring, Samuel Thomas Ritter von",1793-12-05
"Humboldt, Alexander von","Soemmerring, Samuel Thomas Ritter von",1796-05-08
"Humboldt, Alexander von","Sömmering, Samuel Thomas",1795-06-29
"Humboldt, Alexander von","Willdenow, Karl Ludwig",1796-12-20
"Humboldt, Alexander von","Willdenow, Karl Ludwig",1795-07-17
"Humboldt, Alexander von","Willdenow, Karl Ludwig",1795-01-01
"Humboldt, Alexander von","Willdenow, Karl Ludwig",1796-11-19
"Humboldt, Alexander von","Willdenow, Karl Ludwig",1805-02-01
"Kunth, Carl Sigismund","Humboldt, Alexander von",1848-11-25
"Kunth, Carl Sigismund","Humboldt, Alexander von",1849-02-01
"Kunth, Carl Sigismund","Humboldt, Alexander von",1833-03-26
"Kunth, Carl Sigismund","Humboldt, Alexander von",1849-01-13
"Lambert, Aylmer Bourke","Humboldt, Alexander von",1820-11-14
"Rugendas, Johann Moritz","Humboldt, Alexander von",1829-02-20
"Rugendas, Johann Moritz","Humboldt, Alexander von",1826-03-20
"Rugendas, Johann Moritz","Humboldt, Alexander von",1826-01-20
"Rugendas, Johann Moritz","Humboldt, Alexander von",1854-02-26
"Rugendas, Johann Moritz","Humboldt, Alexander von",1825-12-12
"Schlagintweit, Adolph von","Humboldt, Alexander von",1855-06-25
"Schlagintweit, Adolph von","Humboldt, Alexander von",1851-12-18
"Schlagintweit, Adolph von","Humboldt, Alexander von",1855-05-07
"Schlagintweit, Adolph von","Humboldt, Alexander von",1852-06-02
"Schlagintweit, Adolph von","Humboldt, Alexander von",1855-12-15
"Schlagintweit, Robert, Freiherr von","Humboldt, Alexander von",1842-11-12
"Schlagintweit, Robert, Freiherr von","Humboldt, Alexander von",1858-05-19
"Schlagintweit, Robert, Freiherr von","Humboldt, Alexander von",1858-04-14
"Schlagintweit, Robert, Freiherr von","Humboldt, Alexander von",1858-02-12
"Schlagintweit, Robert, Freiherr von","Humboldt, Alexander von",1856-09-26
"Schlagintweit, Robert, Freiherr von","Wilhelm, Prinz von Preußen",1858-03-12
"Schlagintweit-Sakünlünski, Hermann","Humboldt, Alexander von",1859-03-20
"Schlagintweit-Sakünlünski, Hermann","Humboldt, Alexander von",1859-03-20
"Schlagintweit-Sakünlünski, Hermann","Humboldt, Alexander von",1858-07-21
"Schlagintweit-Sakünlünski, Hermann","Humboldt, Alexander von",1857-03-07
"Schlagintweit-Sakünlünski, Hermann","Humboldt, Alexander von",1852-08-01
"Schomburgk, Moritz Richard","Humboldt, Alexander von",1849-12-25
"Schomburgk, Moritz Richard","Humboldt, Alexander von",1847-09-09
"Schomburgk, Otto Alfred","Humboldt, Alexander von",1849-01-10
"Schomburgk, Otto Alfred","Humboldt, Alexander von",1849-03-21
"Schomburgk, Sir Robert Hermann","Humboldt, Alexander von",1840-04-03
"Schomburgk, Sir Robert Hermann","Humboldt, Alexander von",1838-06-13
"Schomburgk, Sir Robert Hermann","Humboldt, Alexander von",1838-11-17
"Schomburgk, Sir Robert Hermann","Humboldt, Alexander von",1850-02-05
"Schomburgk, Sir Robert Hermann","Humboldt, Alexander von",1839-10-24
"Walker-Arnott, George Arnott","Humboldt, Alexander von",1822-03-14
"Walker-Arnott, George Arnott","Humboldt, Alexander von",1825-03-15
